ID	Organism	Subtype	Country	SamplingYear	Region	Organism_and_Subtype	Region_and_Year
AY713423|HIV-1|subtype:01_AE	HIV-1	01_AE	THAILAND	1999	Asia	HIV-1_01_AE	Asia_1999
AY713424|HIV-1|subtype:01_AE	HIV-1	01_AE	THAILAND	1996	Asia	HIV-1_01_AE	Asia_1996
AY713425|HIV-1|subtype:01_AE	HIV-1	01_AE	THAILAND	1990	Asia	HIV-1_01_AE	Asia_1990
AY727522|HIV-1|subtype:C	HIV-1	C	BRAZIL	2004	Central_and_South_America	HIV-1_C	Central_and_South_America_2004
AY727523|HIV-1|subtype:C	HIV-1	C	BRAZIL	2004	Central_and_South_America	HIV-1_C	Central_and_South_America_2004
AY727524|HIV-1|subtype:C	HIV-1	C	BRAZIL	2004	Central_and_South_America	HIV-1_C	Central_and_South_America_2004
AY727525|HIV-1|subtype:C	HIV-1	C	BRAZIL	2004	Central_and_South_America	HIV-1_C	Central_and_South_America_2004
AY727526|HIV-1|subtype:31_BC	HIV-1	31_BC	BRAZIL	2004	Central_and_South_America	HIV-1_31_BC	Central_and_South_America_2004
AY727527|HIV-1|subtype:31_BC	HIV-1	31_BC	BRAZIL	2004	Central_and_South_America	HIV-1_31_BC	Central_and_South_America_2004
AY734550|HIV-1|subtype:C	HIV-1	C	TANZANIA	2002	Africa	HIV-1_C	Africa_2002
AY734551|HIV-1|subtype:C	HIV-1	C	TANZANIA	2002	Africa	HIV-1_C	Africa_2002
AY734552|HIV-1|subtype:A1C	HIV-1	A1C	TANZANIA	2002	Africa	HIV-1_A1C	Africa_2002
AY734553|HIV-1|subtype:A1C	HIV-1	A1C	TANZANIA	2002	Africa	HIV-1_A1C	Africa_2002
AY734554|HIV-1|subtype:A1C	HIV-1	A1C	TANZANIA	2002	Africa	HIV-1_A1C	Africa_2002
AY734555|HIV-1|subtype:A1C	HIV-1	A1C	TANZANIA	2002	Africa	HIV-1_A1C	Africa_2002
